Sr.No,Folder Name,en-US,ar-SA,hi-IN
1,f1,"Dear Customer, Thank you for your call as we are currently handling high volume of calls, please take advantage of our digital services to avoid waiting. Visit www.deem.io or download our mobile application to view exchange rates, perform transefers and much more","عزيزنا العميل، موظفينا يقومون بالرد على كمية كبيرة من المكالمات. يرجى الاستفادة من خدماتنا الالكترونية و عدم الانتظار. يرجى زيارة موقعنا www.deem.io
أو تنزيل تطبيق الهاتف الذكي الخاص
بنا لاتمام معاملاتك و الاستفادة من الخدمات ","प्रिय कस्टमर, आपकी कॉल के लिए धन्यवाद I हमारे एजेंट्स दुसरे कॉल में व्यस्त हैं I जल्द ही आपकी कॉल का उत्तर दिया जाएगा I कृपया हमारी डिजिटल सेवाओं का लाभ उठाएं I www.deem.io विसिट करें या अल रोस्तमानी इंटरनेशनल एक्सचेंज मोबाइल एप्लिकेशन डाउनलोड करें I एक्सचेंज रेट चेक करें, पैसे भेजें व अन्य सेवावों का लाभ उढ़ायें I"
2,f2,"Dear customer, to provide you with the latest and best services, please note that our services menu has been changed, please listen carefully to the options ",عزيزنا العميل لتقديم خدمات أفضل، تم إجراء بعض التعديلات على قائمة الخيارات ، الرجاء الإستماع بعناية إلى قائمة الخدمات,"प्रिय कस्टमर, आपको नवीनतम और सर्वोत्तम सेवाएं प्रदान करना हमारा लक्ष्य है I कृपया ध्यान दें कि हमारी सेवाओं का मेनू बदल दिया गया है, कृपया विकल्पों को ध्यान से सुनें I"
3,f3,"Dear Customer, have you changed your contact details recently? Please ensure to update your details with us to always be updated with our latest promotions and offers",عزيزنا العميل ، هل قمت بتحديث بياناتك و أرقام هواتفك حديثا ؟ الرجاء التأكد من تحديث بياناتك بشكل دائم لسهولة التواصل معك بخصوص العروض و الميزات ,"प्रिय कस्टमर, क्या आपने हाल ही में अपने संपर्क विवरण बदले हैं? यदि हाँ, तो कृपया हमारे साथ नए विवरण को अपडेट करें, ताकि आपको हमारे मार्केटिंग प्रमोशन और ऑफ़र की 
सूचना समय-समय पर मिलते रहे I "
4,f4,For your own security please don’t provide your personal details to unknown callers,لضمان حمايتك يرجى عدم الإفصاح عن أي معلومات شخصية مع أي متصل كان، و المحافظة على سريتها دائماً,अपनी सुरक्षा के लिए कृपया अज्ञात कॉल करने वालों को अपने व्यक्तिगत विवरण प्रदान न करें
5,f5,please ensure always to update your details as a requlatory requirements. Please visit nearest branch or talk to our representative for more information ,يرجى التأكد من تحديث بياناتك بشكل دائم تماشياُ مع المتطلبات التنظيمية و لتسهيل معاملاتك، الرجاء زيارة أقرب فرع أو التحدث مع موظفي خدمة العملاء,"प्रिय कस्टमर, कृपया हमेशा आपका डिटेल्स हमारे साथ अपडेट करें जोकि एक रेगुलेटरी आवश्यकता हैं I अधिक जानकारी के लिए कृपया निकटतम शाखा पर जाएं या हमारे प्रतिनिधि से संपर्क करें।"
6,f6,"Need to do your transactions on the go any time from anywhere, our various electronic services allow you to check your cards transactions, check your balance , transfer funds, get the updated Exchange rates and even apply for products. Talk to our representative for further details. Or visit our website www.deem.io",تريد إنجاز معاملاتك المالية في أي وقت و أي مكان مع خدماتنا الإلكترونية المتعددة يمكنك الإطلاع على رصيد حساباتك و تسديد دفعاتك و تحويل الأموال و معرفة أخر سعر صرف العملات و حتى التقدم بطلبات جديدة ، تحدث مع مسؤول خدمة العملاء لمزيد من التفاصيل او زيارة موقعنا www.deem.io,"क्या आप को कहीं से भी किसी भी समय पैसे भेजने की ज़रुरत हैं? हमारी विभिन्न इलेक्ट्रॉनिक सेवावों के ज़रिये आप अपने कार्ड के ट्रांसक्शन्स की जांच कर सकते हैं, कार्ड बैलेंस चेक कर सकते हैं, घर पैसे भेज सकते हैं, सर्वोत्तम एक्सचेंज रेट प्राप्त कर सकते हैं और अन्य सेवाओं का उपयोग भी कर सकते हैं I आगे के विवरण के लिए हमारे प्रतिनिधि से बात करें या हमारे वेबसाइट www.deem.io विसिट करें I"
7,f7,"Whether you’re starting a family, pursuing higher education, or simply taking on new responsibilities, the Deem Personal Loan ensures that can always adapt to the financial challenges that come your way.. Talk to our representative for further details.",اختر القرض الشخصي المناسب لاحتياجاتك. سواء كنت تخطط بتكوين أسرة، أو تسعى للحصول على تعليم عالٍ، أو عليك مسؤوليات جديدة ، يضمن القرض الشخصي من ديم أنه يمكنك دائمًا مواجهة التحديات المالية التي تعترض طريقك. تحدث مع مسؤول خدمة العملاء لمزيد من التفاصيل,
8,f8,"Unlock the full potential of your business savings with the Deem Corporate High Yield Deposit. Allowing you to earn high interest rates, while maintaining easy access to your funds. Talk to our representative for further details.","أطلق العنان لامكانات مدخرات أعمالك مع وديعة ديم ذات العائد المرتفع للشركات. تتيح لك كسب معدلات فائدة عالية، مع سهولة الوصول إلى أموالك. 
تحدث مع مسؤول خدمة العملاء لمزيد من التفاصيل",
9,f9,"Stay connected with Deem on WhatsApp and enjoy a range of convenient services. Get instant access to your credit card information like statements, due date, and much more.",ابق على اتصال مع ديم على تطبيق واتساب واستمتع بمجموعة من الخدمات المريحة. احصل على وصول فوري إلى معلومات بطاقتك الائتمانية مثل كشف الحساب وتاريخ الاستحقاق وغير ذلك الكثير.,
10,f10,"Making your card payments easier, flexible and more convenient. Choose from a range of multiple channels, the ones that suit you best. No matter your preference, we've ensured that it's easy and accessible for you. ​",اجعل مدفوعات بطاقتك سهلة وملاءمة وأكثر مرونة. مع قنوات دفع المتاحة من ديم، يمكنك اختيار القناة التي تناسبك أكثر. مهما كان اختيارك ، فقد تأكدنا من أنه سهل ومريح.,
